'id_car_serie','id_car_model','id_car_generation','name','date_create','date_update','id_car_type'
'45419','956','6533','Hatchback','1432143701','1568054715','1'
'45420','957','6627','Minivan','1432143702','1568054716','1'
'45421','957','6628','LWB minivan 5-doors','1432143702','1568054716','1'
'45422','957','6629','SWB minivan 5-doors','1432143703','1568054716','1'
'45423','957','6630','Minivan','1432143703','1568054716','1'
'45424','1009','6631','Crossover 5-doors','1432143821','1586463090','1'
'45425','1009','6631','Crossover 3-doors','1432143821','1586463090','1'
'45427','1145','6633','Crossover','1432144154','1568054777','1'
'45428','1163','6634','Roadster 2-doors','1432144188','1639990468','1'
'45429','1290','6635','Pickup','1432144466','1568054828','1'
'45430','1290','6636','Pickup','1432144466','1568054828','1'
'45432','1290','1361','Pickup One-and-a-half cabin','1432144466','1461886821','1'
'45434','1290','6637','Pickup Double cabin','1432144466','1461886821','1'
'45435','1356','6638','Sedan','1432144638','1568054841','1'
'45436','1356','6638','Hatchback 5-doors','1432144638','1568054841','1'
'45437','1391','6639','Sedan','1432144695','1640029673','1'
'45438','1501','6640','Tepee minivan','1432144987','1568054896','1'
'45439','1667','6641','Minivan','1432145358','1461887536','1'
'45440','1673','1826','SC Cupra hatchback 3-doors','1432145366','1568054950','1'
'45441','1673','1826','ST wagon 5-doors','1432145366','1568054950','1'
'45443','1689','6643','Liftback','1432145392','1568054958','1'
'45444','1716','6644','Crossover','1432145417','1600764800','1'
'45445','1800','6645','Sedan','1432145627','1568055006','1'
'45446','1800','6645','Touring wagon','1432145627','1568055006','1'
'45447','1839','6646','Van','1432145731','1463266092','1'
'45450','1925','6647','Minivan','1432145882','1461888032','1'
'45452','2108','6649','Hatchback 5-doors','1432146331','1461888376','1'
'45453','2108','6650','Sedan','1432146331','1568055134','1'
'45454','2127','6651','Crossover','1432146366','1568055139','1'
'45455','2141','6652','Hatchback','1432146422','1568055148','1'
'45456','2219','6653','Coupe','1432146592','1568055197','1'
'45457','2219','6654','Coupe','1432146592','1568055198','1'
'45458','2328','6487','wagon 5-doors','1432146735','1461881725','1'
'45460','2368','6442','wagon 5-doors','1432146932','1461881792','1'
'45461','19085','6656','Hatchback','1432146966','1568055242','1'
'45462','19085','6656','Cabriolet','1432146966','1461889029','1'
'45463','19086','6875','DS 4 I','1432146967','1443301809','1'
'45465','19083','8962','Cabriolet','1432146971','1461889031','1'
'45466','19081','8963','Cabriolet','1432146973','1461889032','1'
'45467','19082','8964','Coupe','1432146974','1461889032','1'
'45468','19080','8965','Coupe','1432146976','1461889033','1'
'45469','19078','8966','Crossover','1432146977','1568055241','1'
'45470','19079','8967','SUV','1432146978','1568055241','1'
'45471','19077','7562','wagon 5-doors','1432147022','1556092882','1'
'45472','19076','7563','Sedan','1432147023','1461881848','1'
'45473','19075','7564','Coupe','1432147028','1461881883','1'
'45474','19074','8968','Hatchback 5-doors','1432147029','1568055241','1'
'45475','2123','6657','+2 crossover 5-doors','1432147031','1639991464','1'
'45477','19071','8969','Coupe','1432147033','1540420633','1'
'45478','19072','6659','SUV 5-doors RS','1432147035','1461881884','1'
'45479','19072','123430','SUV 5-doors','1432147035','1461881885','1'
'45480','19070','6661','Coupe','1432147036','1540420600','1'
'45481','19069','8971','Sedan','1432147038','1461889039','1'
'45482','19067','8972','Minivan','1432147039','1461889083','1'
'45483','19068','6662','Sedan','1432147041','1461889083','1'
'45484','19068','6663','Sedan','1432147041','1461889084','1'
'45485','19068','6664','Sedan','1432147041','1461889084','1'
'45489','19064','6667','Sedan','1432147046','1461881886','1'
'45490','19064','6667','Coupe','1432147046','1461881886','1'
'45491','19063','6668','Sedan','1432147047','1461889085','1'
'45492','19062','7579','wagon 5-doors Estate Wagon','1432147097','1461881898','1'
'45559','152','6670','Crossover','1433616547','1586393222','1'
'45561','777','6671','Crossover 5-doors','1433617993','1568054655','1'
'45562','777','6671','Crossover 3-doors','1433617993','1568054656','1'
'45563','794','6672','Crossover','1433618022','1586461976','1'
