'id_car_generation','id_car_model','name','year_begin','year_end','date_create','date_update','id_car_type'
'123618','1737','HA36','2014','2021','1575303783','1575303783','1'
'123619','1737','HA25','2009','2014','1575303783','1575303783','1'
'123620','1737','HA12','1998','2012','1575303783','1575303783','1'
'123621','1737','SS30/SS40','1979','1984','1575303783','1575303783','1'
'123622','20590','9 generation','1991','1998','1575303903','1575303903','1'
'123623','20590','8 generation','1985','1991','1575303903','1575303903','1'
'123624','1740','4 generation [2th restyling]','1997','1998','1575303962','1575303962','1'
'123625','1740','4 generation [restyling]','1995','1997','1575303962','1575303962','1'
'123626','1740','4 generation','1990','1995','1575303962','1575303962','1'
'123627','1740','3 generation','1988','1990','1575303962','1575303962','1'
'123628','20591','3 generation [restyling]','1998','2002','1575304022','1575304022','1'
'123629','20591','3 generation','1995','1998','1575304022','1575304022','1'
'123630','20591','2 generation','1988','1998','1575304022','1575304022','1'
'123631','1743','6 generation','2015','2021','1575304142','1575304142','1'
'123632','1743','5 generation','2005','2015','1575304142','1575304142','1'
'123633','1743','4 generation','1999','2005','1575304142','1575304142','1'
'123637','22481','1 generation','2014','2021','1575304322','1575304322','1'
'123638','1746','2 generation (HR)','2003','2008','1575304383','1575304383','1'
'123639','1746','1 generation (HT)','2000','2006','1575304383','1575304383','1'
'123640','1747','JB64','2018','2019','1575304442','1575304442','1'
'123641','1747','JB43 [restyling] _2','2012','2019','1575304442','1575304442','1'
'123642','1747','JB43 [restyling] _1','2005','2012','1575304442','1575304442','1'
'123643','1747','JB43','1998','2005','1575304442','1575304442','1'
'123644','1747','2 generation','1981','1998','1575304442','1575304442','1'
'123645','1747','1 generation','1970','1981','1575304442','1575304442','1'
'123646','1749','FR','2009','2014','1575304563','1575304563','1'
'123647','1750','3 generation','2016','2021','1575304623','1575304623','1'
'123648','1750','2 generation [restyling]','2014','2016','1575304623','1575304623','1'
'123649','1751','ER [restyling]','2004','2008','1575304742','1575304742','1'
'123651','20609','1 generation','1988','1998','1575304983','1575304983','1'
'123652','1755','3 generation','2015','2021','1575305042','1575305042','1'
'123653','1755','2 generation [restyling]','2013','2015','1575305042','1575305042','1'
'123654','1758','Sw1 generationft I (Japan)','2000','2004','1575305223','1575305223','1'
'123655','22892','3 generation','2015','2021','1575305642','1575305642','1'
'123656','22892','2 generation','2008','2015','1575305642','1575305642','1'
'123657','22892','1 generation','2002','2008','1575305642','1575305642','1'
'123658','20588','1 generation','2004','2021','1575305704','1575305704','1'
'123660','22893','1 generation','1993','1995','1575305823','1575305823','1'
'123661','20593','1 generation','2008','2012','1575305943','1575305943','1'
'123662','1741','2 generation','2018','2021','1575306002','1575306002','1'
'123663','20594','1 generation','1995','2004','1575306063','1575306063','1'
'123669','1810','XV50 [2th restyling]','2017','2018','1575306602','1575306602','1'
'123671','1810','VX50 [restyling]','2014','2017','1575306602','1575306602','1'
'123682','1810','(A40/A50)','1980','1982','1575306602','1575306602','1'
'123683','1812','A60','1982','1987','1575306662','1575306662','1'
'123684','22894','1 generation','1992','1998','1575306722','1575306722','1'
'123685','1814','6 generation [restyling]','1995','1999','1575306783','1575306783','1'
'123691','1817','2 generation','1980','1984','1575306842','1575306842','1'
'123692','1818','E160 [restyling]','2015','2021','1575306903','1575306903','1'
'123693','1818','E140/E150 [restyling]','2010','2013','1575306903','1575306903','1'
'123694','1818','E140','2006','2010','1403654234','1586617780','1'
'123695','1818','E120/E130 [restyling]','2003','2007','1575306903','1575306903','1'
'123697','1818','E30','1972','1980','1575306904','1575306904','1'
'123699','1821','9 generation (T190)','1992','1998','1575306962','1575306962','1'
'123700','1821','8 generation (T170)','1987','1993','1575306962','1575306962','1'
'123701','1821','T100, T110, T120','1973','1979','1575306962','1575306962','1'
'123709','1826','S220','2018','2021','1575307082','1575307082','1'
'123710','1826','S50','1967','1971','1575307082','1575307082','1'
'123711','1831','3 generation [restyling-3]','2016','2019','1575307142','1575307142','1'
'123712','1831','3 generation [restyling-2]','2012','2016','1575307142','1575307142','1'
'123713','1831','3 generation [restyling-1]','2008','2012','1575307142','1575307142','1'
'123714','1831','2 generation [restyling]','2003','2006','1575307142','1575307142','1'
'123718','1838','XU10 [restyling]','2000','2002','1575307262','1575307262','1'
'123720','1839','H300','2019','2021','1575307322','1575307322','1'
'123721','1839','H50 H60 H70','1982','1989','1575307322','1575307322','1'
'123750','2170','4 generation XW50','2015','2019','1575307682','1575307682','1'
'123751','2170','XW30 [restyling]','2011','2015','1575307682','1575307682','1'
'123752','2170','XW30','2009','2011','1575307682','1575307682','1'
'123753','2170','XW20 [restyling]','2005','2011','1575307682','1575307682','1'
'123754','2170','XW20','2003','2005','1575307682','1575307682','1'
'123755','2170','XW10 [restyling]','2000','2003','1575307682','1575307682','1'
'123756','2170','XW10','1997','2000','1575307682','1575307682','1'
'123757','2177','5 generation (XA50)','2018','2021','1575307742','1575577102','1'
'123758','2177','4 generation (XA40) [restyling]','2015','2019','1575307742','1575577116','1'
'123759','2177','4 generation (XA40)','2012','2015','1575307742','1575577159','1'
'123760','2177','CA30 [restyling]','2010','2014','1575307742','1575307742','1'
'123761','2177','5 generation (XA30)','2005','2010','1575307742','1575577139','1'
'123762','2177','CA20 [restyling]','2003','2006','1575307742','1575307742','1'
'123763','2177','2 generation (XA20)','2000','2003','1575307742','1575577151','1'
'123764','2177','1 generation (XA10)','1994','2000','1575307742','1575577176','1'
'123765','2193','8 generation (E110)','1995','2000','1575307802','1575307802','1'
'123766','2193','7 generation (E100)','1991','2002','1575307802','1575307802','1'
'123767','2193','6 generation (E90)','1987','1991','1575307802','1575307802','1'
'123768','2193','5 generation (E80)','1983','1987','1575307802','1575307802','1'
'123769','2199','5 generation','2008','2021','1575307862','1575307862','1'
'123770','2199','2 generation','1988','1993','1575307862','1575307862','1'
'123780','2217','3 generation [2th restyling]','2017','2019','1575308102','1575308102','1'
'123781','2217','3 generation [restyling]','2014','2017','1575308102','1575308102','1'
'123783','2217','3 generation','2010','2014','1575308102','1575308102','1'
'123784','2217','2 generation [restyling]','2009','2012','1575308102','1575308102','1'
'123785','2217','2 generation','2005','2009','1575308102','1575308102','1'
'123786','2217','1 generation [restyling]','2003','2005','1575308102','1575308102','1'
'123787','2217','1 generation','1999','2003','1575308102','1575308102','1'
'123791','1796','S160','1997','2004','1575308582','1575308582','1'
'123792','1796','S140','1991','1997','1575308582','1575308582','1'
'123795','1799','5 generation (X50)','2018','2019','1575308704','1575308704','1'
'123807','20981','1 generation [restyling]','2019','2021','1575309302','1575309302','1'
'123810','1813','3 generation','1995','2000','1575309542','1575309542','1'
'123816','1816','3 generation','2018','2021','1575309662','1575309662','1'
'123817','1816','2 generation','1997','2017','1575309662','1575309662','1'
'123818','1816','1 generation','1982','1997','1575309662','1575309662','1'
'123819','20635','1 generation','1996','1997','1575309722','1575309722','1'
'123820','22896','1 generation','2012','2021','1575309842','1575309842','1'
'123821','22897','L50','1994','1999','1575309903','1575309903','1'
'123822','22897','L40','1990','1994','1575309903','1575309903','1'
'123823','22897','L30','1986','1990','1575309903','1575309903','1'
'123824','22897','L20','1982','1986','1575309903','1575309903','1'
'123825','22897','L10','1978','1982','1575309903','1575309903','1'
'123826','2376','1 generation [restyling] -2 generation','2007','2009','1575310082','1575310082','1'
'123827','20641','2 generation (ST200)','1993','1998','1575310144','1575310144','1'
'123828','20641','1 generation (ST180)','1989','1993','1575310144','1575310144','1'
'123829','1822','L50','1994','1997','1575310202','1575310202','1'
'123830','1822','L40','1990','1994','1575310202','1575310202','1'
'123831','1822','L20','1982','1989','1575310202','1575310202','1'
'123837','20643','1 generation [restyling]','2016','2021','1575310682','1575310682','1'
'123838','20643','1 generation','2010','2016','1575310682','1575310682','1'
'123839','22898','1 generation','1999','2005','1575310802','1575310802','1'
'123840','22899','1 generation','1999','2002','1575310922','1575310922','1'
'123841','22900','1 generation [restyling]','2016','2021','1575311042','1575311042','1'
'123842','22900','1 generation','2012','2016','1575311042','1575311042','1'
'123843','1841','3 generation [restyling]','1998','2002','1575311103','1575311103','1'
'123844','1848','2 generation','2007','2010','1575311462','1575311462','1'
'123845','1848','1 generation [restyling]','2003','2007','1575311462','1575311462','1'
'123846','1848','1 generation','2000','2003','1575311462','1575311462','1'
'123847','2149','2 generation (M20)','1979','1985','1575311522','1575311522','1'
'123848','22901','1 generation','1982','1991','1575311702','1575311702','1'
'123849','20649','1 generation','1982','1992','1575311943','1575311943','1'
'123850','2159','[restyling]','2002','2005','1575312303','1575312303','1'
'123851','2161','2 generation (L50)','1996','1999','1575312423','1575312423','1'
'123852','2161','1 generation (L40)','1991','1996','1575312423','1575312423','1'
'123853','2162','3 generation','2016','2021','1575312482','1575312482','1'
'123856','22902','1 generation','2011','2017','1575312842','1575312842','1'
'123857','2167','T26 [2th restyling]','2016','2021','1575313023','1575313023','1'
'123858','2167','T26 [restyling]','2010','2016','1575313023','1575313023','1'
'123860','2167','T24 [restyling]','2004','2007','1575313023','1575313023','1'
'123865','22903','1 generation (ZVW40/41) [restyling]','2014','2021','1575313143','1575313143','1'
'123866','22903','1 generation (ZVW40/41)','2011','2014','1575313143','1575313143','1'
'123867','5813','1 generation (Z5 generationW40/41) [restyling]','2014','2021','1575313263','1575313263','1'
'123869','2282','2 generation','2016','2021','1575313322','1575313322','1'
'123870','2172','1 generation [restyling]','2014','2021','1575313383','1575313383','1'
'123871','20653','P30','1969','1978','1575313562','1575313562','1'
'123872','20653','P20','1966','1969','1575313562','1575313562','1'
'123873','20653','P10','1961','1966','1575313562','1575313562','1'
'123874','2180','2 generation','2017','2021','1575313863','1575313863','1'
'123875','2186','2 generation','2015','2021','1575314223','1575314223','1'
'123876','22904','1 generation','2012','2019','1575314402','1575314402','1'
